title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Eigentumswohnung an der Nordsee unweit von Sylt,199.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,"53,85 m²",3.695 €/m²,Erdgeschosswohnung,nil,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,200.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",2,"47,49 m²",4.211 €/m²,Erdgeschosswohnung,nil,nil,1,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,269.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,"66,92 m²",4.020 €/m²,Erdgeschosswohnung,nil,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,286.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,"78,08 m²",3.663 €/m²,Etagenwohnung,nil,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
## Elmshorn ## Exklusive Erdgeschosswohnung,365.000 €,"25337 Elmshorn, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,105 m²,3.476 €/m²,Erdgeschosswohnung,9 m²,sofort,1,1,1 Garage,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Exklusive Eigentumswohnung in 1A Lage von List!,1.390.000 €,"25992 List (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,120 m²,11.583 €/m²,Erdgeschosswohnung,120 m²,nil,2,1,1 Stellplatz,"3,57% inkl. 19% MwSt.",{}
Attraktive 3-Zimmer-Wohnung mit großer Terrasse in Eckernförde,225.000 €,"24340 Eckernförde, Rendsburg-Eckernförde (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,83 m²,2.711 €/m²,Etagenwohnung,nil,nil,2,1,nil,"Courtage in Höhe von 3,57 % brutto des beurkundeten Kaufpreises.","{'is24qa-balkon-terrasse-label': '', 'is24qa-vermietet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,279.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,"66,39 m²",4.202 €/m²,Dachgeschoss,nil,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,220.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",2,"61,1 m²",3.601 €/m²,Erdgeschosswohnung,nil,nil,1,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Kiel - Nähe Blücherplatz: 5 freie Eigentumswohnungen. Besichtigung - Jederzeit !,367.000 €,"Bülowstraße 25,
Blücherplatz, 24105 Kiel","3,5",86 m²,4.267 €/m²,Etagenwohnung,5 m²,Sofort möglich,2,1,nil,"13.000,00 €","{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Ansprechende Terrassenwohnung mit Tiefgaragenstellplatz,165.000 €,"25451 Quickborn, Pinneberg (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","1,5","49,78 m²",3.315 €/m²,Erdgeschosswohnung,nil,nil,1,1,nil,"Käuferprovision 3,25 % inkl. MwSt.",{'is24qa-einbaukueche-label': ''}
Eigentumswohnung in Top Lage von List!,1.290.000 €,"25992 List (Sylt), Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,115 m²,11.217 €/m²,Erdgeschosswohnung,115 m²,nil,2,1,1 Stellplatz,"3,57% inkl. 19% MwSt.",{}
Eigentumswohnung an der Nordsee unweit von Sylt,189.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",2,"49,96 m²",3.783 €/m²,Erdgeschosswohnung,nil,nil,1,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Zentral gelegene 3-Zimmer-Wohnung in Husum,125.000 €,"25813 Husum, Nordfriesland (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,60 m²,2.083 €/m²,Erdgeschosswohnung,nil,nil,2,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Eigentumswohnung an der Nordsee unweit von Sylt,227.000 €,"Dorfstrasse 8,
25924 Emmelsbüll-Horsbüll, Nordfriesland (Kreis)",3,"61,5 m²",3.691 €/m²,Dachgeschoss,nil,nil,2,1,1 Außenstellplatz,"2,38","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
Ruhige und sonnige 2-Zimmerwohnung mit großem Balkon und KFZ Stellplatz in Lübeck St. Gertrud,162.500 €,"Sankt Gertrud, 23566 Lübeck
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60 m²,2.708 €/m²,Etagenwohnung,8 m²,nil,1,1,1 Außenstellplatz,"3,57 % inkl. ges. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
"2 1/2 Zimmer-Wohnung mit Balkon,zentrale Lage, nah zur Holtenauer Straße",249.000 €,"Blücherplatz, 24105 Kiel
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5","65,64 m²",3.793 €/m²,Etagenwohnung,nil,01.01.24,1,1,nil,"3,57 % inkl.MwSt.",{}
